message,label
Error writing screenshot,Bad
"拉取失败
发生了错误
Inflater has been closed",Bad
无法成功初始化新酷音程式库: dictionary.dat,Bad
Error during upload,Bad
NoSuchMethodError: The method 'addAll' was called on null. Receiver: null Tried calling: addAll(),Bad
"UserLAnd has entered an illegal state!
Failed to extract filesystem. Try clearing support files. Failure reason: [Unknown reason.] We are working to resolve these issues. You can let us know about this issue on Github if you'd like to help!",Bad
"An error occurred: java.lang.lllegalStateException: failed to get surface
An error occurred :java.io.lOException: prepare failed",Bad
"Failed to open Calendar/Tasks app.Intent{flg=0x808000cmp=org.andstatus.todoagenda/.MainActivity ) widgetld:2, entryld:97
Caused by: class android.util.AndroidRuntimeException, Calling startActivity() from outside of an Activity context requires the FLAG_ACTIVITY_NEW_TASK fag. Is this really what you want?",Bad
"Something went wrong
If the problem persists please report the issue",Bad
"org.jivesoftware.smack.SmackException $NoResponseException: No response received within reply timeout. Timeout was 30000ms(~30s).While waiting for establishing TLS
at
org.jivesoftware.smack.SynchronizationPoint.checkForResponse(Unknown Source)
at
org.jivesoftware.smack.SynchronizationPoint.checklfSuccessOrWait(Unknown Source)
at
org.jivesoftware.smack.SynchronizationPoint.checklfSuccessOrWaitOrThrow(UnknownSource)
at
org.jivesoftware.smack.AbstractXMPPConnection.connect(Unknown Source)
...",Bad
"[ ERROR ] ""{QSGRenderThread}[Setup]: loading style failed: HTTP status code 0""
[ ERROR ] ""{QSGRenderThread}[Style]: Failed to load glyph range 0-255 for font stack Open Sans Regular,Arial Unicode MS Regular: HTTP status code 0""",Bad
"Message: Uncaught SyntaxError: Unexpected identifier
Source: https://chat.zulip.org/
Line: 1:1994
Error: {}",Bad
"Deserializing 'ldata, [permissions: , settings: nullis_owner: true, is admin: true, is lo... to'LoginResponse' failed due to: Deserializing[permissions: , settings: null, is_owner: trueis_admin: true, is locked: f... toBuiltList<UserCompanyEntity>' failed due to:Deserializing 'lpermissions, , is_owner, trueis_admin, true, is _locked, false, updated at,... to'UserCompanyEntity' failed due to: Deserializing ""lidOpnel5aKBz, company_key.vkn3lguioeureufnmboz1mylra6cjigjadf1lahrdcwz90h..! to 'CompanyEntity' failed due to: Deserializing[fid: kzPdy7aQro, user_id: Opnel5aKBz.assigned_user_id: , name: Bella Kuhn, ... toBuiltList<ClientEntity>' failed due to: Deserializingid, kzPdy7aQro, user_id, Opnel5aKBz,assigned_user_id, , name, Bella Kuhn, w... toClientEntity' failed due to: Tried to construct class""ClientEntity"" with null field ""publicNotes"". This isforbidden; to allow it, mark ""publicNotes"" with@nullable.",Bad
"Error report
Sorry, that should not have happened.
Stack trace:
java.lang.NullPointerExceptionat com.zionhuang.innertube.models.response.lat z6.g.b(SourceFile:4)at z6.g$c.t(Unknown Source:12)at u9 .a.n(Unknown Source:8)
at f9.h.f(SourceFile:5)f9.h.d(SourceFile:2)at
at f9.h$a.n(SourceFile:5)u9 .a.n(Unknown Source:31)atf9.h.f(SourceFile:5)atat f9.h.d(SourceFile:2)f9.h$a.n(SourceFile:5)atat u9 .a.n(Unknown Source:31)at f9.h.f(SourceFile:5)f9.h.d(SourceFile:2)atat f9.h$a.n(SourceFile:5)",Bad
